Sample_ID,Product,Category,Production_Site,Collection_Date,Bacteriological_Result,Chemical_Result,Unit_of_Measure,Compliance_Status,Operator,Storage_Temperature,pH_Level,Batch_Number
SMPL-00001,Plain  Yogurt,Dietary Supplement,Marseille,2024-02-17,676.7,8.703,mg/L,Non-Compliant,Davis M.,6.0,7.08,BATCH-7873
SMPL-00002,Ketchup,Dairy Product,Toulouse,2021-07-23,215.31,10.23,ΜG/L,Pending,Brown C.,5.0,6.26,BATCH-6925
SMPL-00003,Whole  Milk,Pharmaceutical,Paris,2024-11-09,380.13,83.4127,µg/L,Pending,Miller S.,5.0,4.72,BATCH-5422
SMPL-00004,Probiotic B-24,Processed Food,Lyon,2024-08-10,805.05,6.6282,Unknown,Pending,Unknown,7.0,4.21,BATCH-9830
SMPL-00005,Salad Dressing,Beverage,Marseille,2022-11-09,90.91,10.9738,CFU / mL,Compliant,Unknown,6.0,8.36,BATCH-1188
SMPL-00006,Salad Dressing,Dietary Supplement,Paris,2022-06-09,453.72,87.5865,ppm,Compliant,Davis M.,3.0,7.31,BATCH-9689
SMPL-00007,Unknown,Unknown,Strasbourg,2020-04-28,878.01,8.5745,mg / L,Non-Compliant,Brown C.,4.0,7.86,BATCH-4470
SMPL-00008,Orange Juice,Processed Food,Toulouse,2023-08-23,438.1,12.1092,µg/L,Unknown,Nguyen T.,5.0,6.66,BATCH-1514
SMPL-00009,Sour Cream,Processed Food,Marseille,2020-09-27,576.21,47.3026,mg/L,Under Review,Unknown,5.0,3.77,BATCH-2612
SMPL-00010,Ketchup,Dairy Product,Marseille,2023-01-03,140.18,46.2682,mg/L,Compliant,Davis M.,2.0,4.33,BATCH-4502
SMPL-00011,Unknown,Dairy Product,Strasbourg,2021-08-07,696.59,78.3383,CFU/mL,Non-Compliant,Nguyen T.,5.0,6.21,BATCH-1936
SMPL-00012,Peanut Butter,Condiment,Unknown,2020-06-13,68.52,86.1833,ppm,Unknown,Unknown,7.0,6.33,BATCH-5272
SMPL-00013,Sour Cream,Beverage,Strasbourg,2021-10-09,9.32,56.3037,ppm,Pending,Johnson R.,3.0,4.92,BATCH-9900
SMPL-00014,Ketchup,Condiment,Montreal,2023-09-20,938.93,11.5517,ppm,Pending,Miller S.,7.0,4.52,BATCH-5325
SMPL-00015,Peanut Butter,Dairy Product,Toulouse,2020-03-31,333.56,97.98,CFU / mL,Unknown,Martin J.,5.0,8.02,BATCH-7049
SMPL-00016,Cream Cheese,Unknown,Lyon,2021-03-06,666.93,55.9928,Unknown,Non-Compliant,Leroy B.,5.0,4.4,BATCH-7745
SMPL-00017,Ketchup,Unknown,Paris,2024-11-21,858.59,81.6605,µg/L,Unknown,Unknown,4.0,7.82,BATCH-5573
SMPL-00018,Calcium Tablet,Condiment,Lyon,2024-12-01,178.57,26.554,CFU/ML,Pending,Miller S.,5.0,4.45,Unknown
SMPL-00019,Skimmed  Milk,Dietary Supplement,Paris,2021-07-09,309.28,40.246,g/L,Under Review,Unknown,5.0,7.67,BATCH-4443
SMPL-00020,Iron Supplement,Beverage,Lille,2021-03-13,473.19,79.6045,mg/L,Pending,Nguyen T.,3.0,4.24,BATCH-8784
SMPL-00021,Penicillin G,Processed Food,Toulouse,2022-03-29,147.57,89.2671,mg/L,Non-Compliant,Unknown,2.0,4.75,BATCH-8478
SMPL-00022,Probiotic L-12,Unknown,Lille,2024-07-27,426.74,44.5969,CFU/mL,Pending,Unknown,7.0,4.87,BATCH-5681
SMPL-00023,Salad Dressing,Dairy Product,Bordeaux,2022-02-23,706.42,40.7659,CFU/mL,Non-Compliant,Williams P.,8.0,5.99,BATCH-5892
SMPL-00024,Mayonnaise,Unknown,Lille,2021-07-12,485.64,66.8907,g/L,Unknown,Davis M.,5.0,5.99,BATCH-3223
SMPL-00025,Cheddar Cheese,Dietary Supplement,Lille,2021-11-22,278.26,42.1623,CFU/mL,Compliant,Nguyen T.,5.0,3.7,BATCH-5051
SMPL-00027,Vitamin  D3  Supplement,Processed Food,Paris,2024-05-01,850.29,12.1143,mg/L,Under Review,Dupont A.,2.0,7.61,BATCH-6934
SMPL-00028,Orange Juice,Beverage,Unknown,2021-07-07,808.2,48.3549,ppm,Pending,Dupont A.,5.0,7.25,BATCH-7209
SMPL-00029,Brie,Beverage,Nantes,2021-11-28,880.32,50.4388,mg/L,Under Review,Davis M.,7.0,6.73,BATCH-1282
SMPL-00030,Unknown,Dietary Supplement,Lille,2022-12-23,425.5,33.0858,ΜG/L,Pending,Dupont A.,4.0,7.21,BATCH-4033
SMPL-00031,Cheddar  Cheese,Unknown,Paris,2021-08-29,360.88,70.8048,mg/L,Pending,Brown C.,8.0,6.37,BATCH-8216
SMPL-00032,Cheddar Cheese,Beverage,Paris,2022-10-04,577.02,15.1812,µg/L,Non-Compliant,Unknown,6.0,7.45,BATCH-9561
SMPL-00033,Mozzarella,Condiment,Strasbourg,2023-06-25,609.63,94.7595,g/L,Compliant,Nguyen T.,6.0,4.28,BATCH-8699
SMPL-00034,Orange Juice,Processed Food,Paris,2021-04-23,787.83,66.1217,CFU/mL,Non-Compliant,Smith K.,2.0,4.33,BATCH-5728
SMPL-00035,Mozzarella,Beverage,Montreal,2022-10-08,501.05,73.456,mg/L,Unknown,Miller S.,5.0,7.61,BATCH-3870
SMPL-00036,Peanut Butter,Pharmaceutical,Lille,2022-08-20,408.35,10.4689,Unknown,Under Review,Williams P.,5.0,5.07,BATCH-7622
SMPL-00037,Plain  Yogurt,Condiment,Toulouse,2021-01-19,361.78,62.5446,g/L,Non-Compliant,Unknown,2.0,8.37,BATCH-4920
SMPL-00038,Plain Yogurt,Beverage,Marseille,2022-08-03,647.71,93.266,µg/L,Under Review,Unknown,6.0,5.42,BATCH-9327
SMPL-00039,Skimmed Milk,Beverage,Montreal,2024-08-07,282.84,58.6979,CFU/mL,Unknown,Brown C.,4.0,7.31,BATCH-6272
SMPL-00040,Sour Cream,Beverage,Unknown,2021-10-13,705.23,38.614,g/L,Unknown,Davis M.,8.0,7.87,BATCH-9617
SMPL-00042,Amoxicillin,Processed Food,Lille,2023-11-22,903.42,79.6164,µg/L,Non-Compliant,Unknown,5.0,7.46,BATCH-2293
SMPL-00043,Unknown,Beverage,Marseille,2023-07-30,459.57,89.8919,Unknown,Non-Compliant,Brown C.,6.0,6.69,BATCH-5097
SMPL-00044,Bcg Vaccine,Beverage,Marseille,2023-03-17,574.81,29.5301,CFU/ML,Unknown,Unknown,8.0,7.38,BATCH-6772
SMPL-00045,Cheddar  Cheese,Processed Food,Paris,2023-08-16,308.93,57.9616,mg/L,Pending,Leroy B.,3.0,7.88,BATCH-9221
SMPL-00046,Cheddar Cheese,Beverage,Nantes,2022-08-17,140.76,86.0155,CFU / mL,Pending,Williams P.,4.0,4.12,BATCH-5295
SMPL-00047,Cottage Cheese,Processed Food,Lille,2023-06-22,328.01,64.7688,Unknown,Pending,Dupont A.,2.0,5.02,BATCH-2592
SMPL-00048,Bcg Vaccine,Unknown,Brussels,2024-01-28,885.41,83.371,µg/L,Pending,Unknown,3.0,4.0,BATCH-9920
SMPL-00049,Whole Milk,Dietary Supplement,Paris,2020-07-06,641.7,2.1455,g/L,Non-Compliant,Davis M.,6.0,7.57,BATCH-3417
SMPL-00050,Cheddar Cheese,Pharmaceutical,Montreal,2024-06-23,109.93,13.189,g / L,Pending,Leroy B.,2.0,7.21,BATCH-2041
SMPL-00051,Probiotic L-12,Dairy Product,Unknown,2023-06-13,727.24,65.8937,mg/L,Under Review,Williams P.,5.0,8.05,BATCH-2323
SMPL-00052,Cream Cheese,Condiment,Toulouse,2022-12-22,453.72,9.9269,Unknown,Non-Compliant,Brown C.,5.0,7.64,BATCH-2557
SMPL-00053,Cheddar Cheese,Pharmaceutical,Paris,2024-08-30,93.23,73.8822,ppm,Pending,Williams P.,5.0,8.21,BATCH-1842
SMPL-00054,Cottage Cheese,Condiment,Bordeaux,2022-09-14,847.27,55.631,µg / L,Non-Compliant,Unknown,5.0,7.65,BATCH-3955
SMPL-00055,Peanut Butter,Dietary Supplement,Bordeaux,2023-03-05,69.59,97.1813,ppm,Unknown,Brown C.,3.0,5.06,BATCH-2391
SMPL-00056,Tomato Paste,Dairy Product,Strasbourg,2023-09-17,485.66,27.324,mg/L,Under Review,Unknown,5.0,5.04,TBD
SMPL-00057,Tomato Paste,Dietary Supplement,Nantes,2020-01-16,747.01,38.0269,ppm,Pending,Williams P.,5.0,5.8,BATCH-6129
SMPL-00058,Orange  Juice,Beverage,Paris,2020-02-12,171.87,46.0151,µg/L,Unknown,Unknown,6.0,6.12,BATCH-6083
SMPL-00059,Unknown,Dairy Product,Montreal,2021-02-01,351.1,64.5478,mg/L,Pending,Leroy B.,5.0,3.88,BATCH-9095
SMPL-00060,Vitamin D3 Supplement,Processed Food,Nantes,2022-06-19,468.92,79.635,µg / L,Compliant,Unknown,2.0,5.34,BATCH-2479
SMPL-00061,Penicillin G,Condiment,Lille,2023-08-27,321.53,15.0946,mg/L,Unknown,Leroy B.,5.0,5.69,BATCH-9564
SMPL-00062,Peanut Butter,Unknown,Nantes,2023-05-09,789.23,6.6005,CFU/ML,Unknown,Leroy B.,2.0,6.82,BATCH-6082
SMPL-00063,Bcg Vaccine,Condiment,Strasbourg,2022-02-10,813.18,82.8976,ppm,Unknown,Unknown,4.0,4.4,BATCH-8967
