Sample_ID,Product,Category,Production_Site,Collection_Date,Bacteriological_Result,Chemical_Result,Unit_of_Measure,Compliance_Status,Operator,Storage_Temperature,pH_Level,Batch_Number
SMPL-00001,Plain  Yogurt,dietary supplement,Marseille,17/02/2024,676.7,8.703,mg/L,non-compliant,Davis M.,6 C,7.08,BATCH-7873
SMPL-00002,Ketchup,dairy product,toulouse,2021-07-23,215.31,10.23,ΜG/L,Pending,Brown C.,5°C,6.26,BATCH-6925
SMPL-00003,Whole  Milk,PHARMACEUTICAL,Paris,09/11/2024,380.13,83.4127,µg/l,Pending,miller s.,,4.72,BATCH-5422
SMPL-00004,probiotic b-24,PROCESSED FOOD,Lyon,10/08/2024,805.05,6.6282,,pending,,7,4.21,BATCH-9830
SMPL-00005, Salad Dressing,BEVERAGE,Marseille,09.11.2022,90.91,10.9738,CFU / mL,Compliant,,6°,8.36,BATCH-1188
SMPL-00006, Salad Dressing,DIETARY SUPPLEMENT,paris,2022-06-09,453.72,87.5865,ppm,COMPLIANT,davis m.,3°,7.31,BATCH-9689
SMPL-00007,,,Strasbourg,2020-04-28,878.01,8.5745,mg / L,non-compliant,brown c.,4 degrees,7.86,BATCH-4470
SMPL-00008,orange juice,PROCESSED FOOD,TOULOUSE,08-23-2023,438.1,12.1092,µg/L,,Nguyen T.,,6.66,BATCH-1514
SMPL-00009,SOUR CREAM,Processed Food,MARSEILLE,27-09-2020,576.21,47.3026,mg/L,UNDER REVIEW,,,3.77,BATCH-2612
SMPL-00010,Ketchup,dairy product,Marseille,03.01.2023,140.18,46.2682,mg/L,Compliant,Davis M.,2 C,4.33,BATCH-4502
SMPL-00011,,Dairy Product,strasbourg,07.08.2021,696.59,78.3383,cfu/ml,NON-COMPLIANT,Nguyen T.,,6.21,BATCH-1936
SMPL-00012,Peanut Butter,condiment,,2020-06-13,68.52,86.1833,ppm,,,7 degrees,6.33,BATCH-5272
SMPL-00013,SOUR CREAM,beverage,strasbourg,09/10/2021,9.32,56.3037,ppm,pending,Johnson R.,3°,4.92,BATCH-9900
SMPL-00014,Ketchup,Condiment,montreal,20/09/2023,938.93,11.5517,ppm,PENDING,miller s.,7°,4.52,BATCH-5325
SMPL-00015,Peanut Butter,Dairy Product,toulouse,31/03/2020,333.56,97.98,CFU / mL,,Martin J.,,8.02,BATCH-7049
SMPL-00016,Cream Cheese,,lyon,2021-03-06,666.93,55.9928,,non-compliant,leroy b.,5°C,4.4,BATCH-7745
SMPL-00017,ketchup,,paris,21/11/2024,858.59,81.6605,µg/l,,,4°,7.82,BATCH-5573
SMPL-00018,Calcium Tablet,CONDIMENT,Lyon,12-01-2024,178.57,26.554,CFU/ML,Pending,Miller S.,5 degrees,4.45,N/A
SMPL-00019,Skimmed  Milk,DIETARY SUPPLEMENT,PARIS,07-09-2021,309.28,40.246,g/l,Under Review,,5 degrees,7.67,BATCH-4443
SMPL-00020,IRON SUPPLEMENT,Beverage,LILLE,13-03-2021,473.19,79.6045,MG/L,Pending,NGUYEN T.,3 C,4.24,BATCH-8784
SMPL-00021,Penicillin G ,processed food,toulouse,2022-03-29,147.57,89.2671,mg/L,non-compliant,,2 degrees,4.75,BATCH-8478
SMPL-00022, Probiotic L-12,,LILLE,27-07-2024,426.74,44.5969,CFU/mL,pending,,7 C,4.87,BATCH-5681
SMPL-00023, Salad Dressing,dairy product,Bordeaux,2022-02-23,706.42,40.7659,CFU/mL,Non-Compliant,Williams P.,8 degrees,99,BATCH-5892
SMPL-00024,Mayonnaise ,,Lille,12.07.2021,485.64,66.8907,g/L,,Davis M.,5 degrees,N/A,BATCH-3223
SMPL-00025,Cheddar Cheese ,dietary supplement,lille,22.11.2021,278.26,42.1623,CFU/mL,COMPLIANT,Nguyen T.,,3.7,BATCH-5051
SMPL-00009,sour cream,Beverage,Brussels,08-10-2022,766.9,60.7287,mg/l,Pending,Miller S.,4 degrees,6.89,BATCH-7498
SMPL-00027,Vitamin  D3  Supplement,processed food,PARIS,05-01-2024,850.29,12.1143,MG/L,UNDER REVIEW,DUPONT A.,2,7.61,BATCH-6934
SMPL-00028,orange juice,beverage,,07-07-2021,808.2,48.3549,PPM,pending,DUPONT A.,5 C,7.25,BATCH-7209
SMPL-00029,brie,beverage,nantes,11-28-2021,880.32,nd,mg/l,Under Review,davis m.,7,6.73,BATCH-1282
SMPL-00030,,DIETARY SUPPLEMENT,LILLE,12-23-2022,425.5,33.0858,ΜG/L,pending,dupont a.,4°C,7.21,BATCH-4033
SMPL-00031,Cheddar  Cheese,,Paris,2021-08-29,360.88,70.8048,mg/L,pending,Brown C.,8°C,6.37,BATCH-8216
SMPL-00032,Cheddar Cheese,Beverage,paris,04/10/2022,577.02,15.1812,µg/L,Non-Compliant,,6 degrees,7.45,BATCH-9561
SMPL-00033,Mozzarella,Condiment,STRASBOURG,25/06/2023,609.63,94.7595,G/L,compliant,nguyen t.,6°C,4.28,BATCH-8699
SMPL-00034,ORANGE JUICE,Processed Food,PARIS,04-23-2021,787.83,66.1217,CFU/mL,non-compliant,smith k.,2°C,4.33,BATCH-5728
SMPL-00035,Mozzarella,BEVERAGE,MONTREAL,08.10.2022,99999.0,73.456,mg/L,,Miller S.,,7.61,BATCH-3870
SMPL-00036,PEANUT BUTTER,Pharmaceutical,Lille,08-20-2022,408.35,10.4689,,UNDER REVIEW,Williams P.,5°C,5.07,BATCH-7622
SMPL-00037,Plain  Yogurt,Condiment,Toulouse,19-01-2021,361.78,62.5446,G/L,NON-COMPLIANT,,2°C,8.37,BATCH-4920
SMPL-00038, Plain Yogurt,Beverage,Marseille,03/08/2022,647.71,93.266,ug/L,Under Review,,6 C,5.42,BATCH-9327
SMPL-00039,SKIMMED MILK,BEVERAGE,montreal,07/08/2024,282.84,58.6979,cfu/ml,,BROWN C.,4 degrees,7.31,BATCH-6272
SMPL-00040, Sour Cream,beverage,,13.10.2021,705.23,38.614,g/L,,DAVIS M.,8°C,7.87,BATCH-9617
SMPL-00023,Amoxicillin,processed food,paris,05-19-2024,338.56,64.9872,ppm,Pending,Davis M.,6°C,4.67,BATCH-5708
SMPL-00042,Amoxicillin,Processed Food,Lille,11-22-2023,903.42,79.6164,ug/L,non-compliant,,,7.46,BATCH-2293
SMPL-00043,,beverage,marseille,07-30-2023,459.57,89.8919,,Non-Compliant,BROWN C.,6°,6.69,BATCH-5097
SMPL-00044,Bcg Vaccine,Beverage,marseille,03-17-2023,574.81,29.5301,CFU/ML,,,8°,7.38,BATCH-6772
SMPL-00045,Cheddar  Cheese,processed food,PARIS,16/08/2023,308.93,57.9616,MG/L,Pending,leroy b.,3 degrees,7.88,BATCH-9221
SMPL-00046,Cheddar Cheese,BEVERAGE,Nantes,17/08/2022,140.76,86.0155,CFU / mL,Pending,Williams P.,4 degrees,4.12,BATCH-5295
SMPL-00047,Cottage Cheese,processed food,Lille,22-06-2023,328.01,64.7688,,Pending,dupont a.,2°C,5.02,BATCH-2592
SMPL-00048,BCG Vaccine ,,BRUSSELS,2024-01-28,885.41,83.371,µg/L,pending,,3°,4.0,BATCH-9920
SMPL-00049,Whole Milk ,dietary supplement,paris,2020-07-06,641.7,2.1455,g/l,Non-Compliant,davis m.,6 C,7.57,BATCH-3417
SMPL-00050,Cheddar Cheese,pharmaceutical,montreal,2024-06-23,109.93,13.189,g / L,Pending,LEROY B.,2 C,7.21,BATCH-2041
SMPL-00051, Probiotic L-12,Dairy Product,,13/06/2023,727.24,65.8937,mg/L,Under Review,Williams P.,,8.05,BATCH-2323
SMPL-00052,CREAM CHEESE,CONDIMENT,TOULOUSE,12-22-2022,453.72,9.9269,,Non-Compliant,brown c.,5°,7.64,BATCH-2557
SMPL-00053,CHEDDAR CHEESE,Pharmaceutical,Paris,30/08/2024,93.23,73.8822,ppm,Pending,WILLIAMS P.,,8.21,BATCH-1842
SMPL-00054,Cottage Cheese,condiment,BORDEAUX,2022-09-14,847.27,55.631,µg / L,Non-Compliant,,,7.65,BATCH-3955
SMPL-00055,PEANUT BUTTER,Dietary Supplement,Bordeaux,05.03.2023,69.59,97.1813,ppm,,BROWN C.,3°,5.06,BATCH-2391
SMPL-00056, Tomato Paste,Dairy Product,strasbourg,17.09.2023,485.66,27.324,MG/L,Under Review,,,5.04,TBD
SMPL-00057,tomato paste,DIETARY SUPPLEMENT,Nantes,16.01.2020,747.01,38.0269,ppm,Pending,Williams P.,5°C,5.8,BATCH-6129
SMPL-00058,Orange  Juice,BEVERAGE,paris,02-12-2020,171.87,46.0151,µg/L,,,6,6.12,BATCH-6083
SMPL-00059,,Dairy Product,MONTREAL,02-01-2021,351.1,64.5478,mg/l,pending,leroy b.,,3.88,BATCH-9095
SMPL-00060,Vitamin D3 Supplement ,PROCESSED FOOD,Nantes,19/06/2022,468.92,79.635,µg / L,COMPLIANT,,2°C,5.34,BATCH-2479
SMPL-00061, Penicillin G,Condiment,LILLE,2023-08-27,321.53,15.0946,MG/L,,Leroy B.,,5.69,BATCH-9564
SMPL-00062,PEANUT BUTTER,,NANTES,09/05/2023,789.23,6.6005,CFU/ML,,LEROY B.,2 degrees,6.82,BATCH-6082
SMPL-00063,bcg vaccine,Condiment,STRASBOURG,02-10-2022,813.18,82.8976,ppm,,,4°,4.4,BATCH-8967
SMPL-00064,Cream Cheese,Dietary Supplement,MONTREAL,06-09-2024,37.75,76.6331,cfu/ml,non-compliant,miller s.,7,3.72,BATCH-4891
SMPL-00065,Tomato  Paste,beverage,Montreal,25.09.2021,903.97,67.8339,CFU/mL,Pending,,3 C,7.51,BATCH-5096
SMPL-00066, Cottage Cheese,Dairy Product,Strasbourg,2024-04-11,272.79,14.7434,g/L,,Williams P.,5 degrees,5.37,BATCH-2337
SMPL-00051,Mayonnaise,PROCESSED FOOD,Bordeaux,03-19-2020,917.4,83.1127,CFU/mL,Compliant,MARTIN J.,3 C,6.24,BATCH-9647
